"drug","disease","classification","notes","drug_url","disease_url"
"Salmeterol","asthma","DM","","http://www.drugbank.ca/drugs/DB00938","http://www.disease-ontology.org/term/DOID%3A2841"
"Salsalate","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB01399","http://www.disease-ontology.org/term/DOID%3A7148"
"Saquinavir","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB01232","http://www.disease-ontology.org/term/DOID%3A635"
"Scopolamine","Alzheimer's disease","NOT","","http://www.drugbank.ca/drugs/DB00747","http://www.disease-ontology.org/term/DOID%3A10652"
"Scopolamine","Parkinson's disease","NOT","","http://www.drugbank.ca/drugs/DB00747","http://www.disease-ontology.org/term/DOID%3A14330"
"Selegiline","Alzheimer's disease","NOT","","http://www.drugbank.ca/drugs/DB01037","http://www.disease-ontology.org/term/DOID%3A10652"
"Selegiline","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB01037","http://www.disease-ontology.org/term/DOID%3A14330"
"Selegiline","endogenous depression","SYM","","http://www.drugbank.ca/drugs/DB01037","http://www.disease-ontology.org/term/DOID%3A1595"
"Sertraline","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB01104","http://www.disease-ontology.org/term/DOID%3A14330"
"Sertraline","autistic disorder","SYM","","http://www.drugbank.ca/drugs/DB01104","http://www.disease-ontology.org/term/DOID%3A12849"
"Sertraline","endogenous depression","SYM","","http://www.drugbank.ca/drugs/DB01104","http://www.disease-ontology.org/term/DOID%3A1595"
"Sertraline","panic disorder","SYM","","http://www.drugbank.ca/drugs/DB01104","http://www.disease-ontology.org/term/DOID%3A594"
"Sertraline","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB01104","http://www.disease-ontology.org/term/DOID%3A5419"
"Sibutramine","obesity","DM","Pilot classification: disease-modifying; Pilot notes: enhances satiety via CNS","http://www.drugbank.ca/drugs/DB01105","http://www.disease-ontology.org/term/DOID%3A9970"
"Sildenafil","hypertension","DM","pulm htn","http://www.drugbank.ca/drugs/DB00203","http://www.disease-ontology.org/term/DOID%3A10763"
"Sildenafil","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00203","http://www.disease-ontology.org/term/DOID%3A2377"
"Sildenafil","systemic scleroderma","SYM","","http://www.drugbank.ca/drugs/DB00203","http://www.disease-ontology.org/term/DOID%3A418"
"Sildenafil","type 1 diabetes mellitus","NOT","","http://www.drugbank.ca/drugs/DB00203","http://www.disease-ontology.org/term/DOID%3A9744"
"Simvastatin","atherosclerosis","DM","","http://www.drugbank.ca/drugs/DB00641","http://www.disease-ontology.org/term/DOID%3A1936"
"Simvastatin","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB00641","http://www.disease-ontology.org/term/DOID%3A3393"
"Simvastatin","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00641","http://www.disease-ontology.org/term/DOID%3A10763"
